Date,Adj Close
2020/7/1,2878.699951
2020/7/2,2890.300049
2020/7/6,3057.040039
2020/7/7,3000.120117
2020/7/8,3081.110107
2020/7/9,3182.629883
2020/7/10,3200
2020/7/13,3104
2020/7/14,3084
2020/7/15,3008.870117
2020/7/16,2999.899902
2020/7/17,2961.969971
2020/7/20,3196.840088
2020/7/21,3138.290039
2020/7/22,3099.909912
2020/7/23,2986.550049
2020/7/24,3008.909912
2020/7/27,3055.209961
2020/7/28,3000.330078
2020/7/29,3033.530029
2020/7/30,3051.879883
2020/7/31,3164.679932
2020/8/3,3111.889893
2020/8/4,3138.830078
2020/8/5,3205.030029
2020/8/6,3225
2020/8/7,3167.459961
2020/8/10,3148.159912
2020/8/11,3080.669922
2020/8/12,3162.23999
2020/8/13,3161.02002
2020/8/14,3148.02002
2020/8/17,3182.409912
2020/8/18,3312.48999
2020/8/19,3260.47998
2020/8/20,3297.370117
2020/8/21,3284.719971
2020/8/24,3307.459961
2020/8/25,3346.48999
2020/8/26,3441.850098
2020/8/27,3400
2020/8/28,3401.800049
2020/8/31,3450.959961
2020/9/1,3499.120117
2020/9/2,3531.449951
2020/9/3,3368
2020/9/4,3294.620117
2020/9/8,3149.840088
2020/9/9,3268.610107
2020/9/10,3175.110107
2020/9/11,3116.219971
2020/9/14,3102.969971
2020/9/15,3156.129883
2020/9/16,3078.100098
2020/9/17,3008.72998
2020/9/18,2954.909912
2020/9/21,2960.469971
2020/9/22,3128.98999
2020/9/23,2999.860107
2020/9/24,3019.790039
2020/9/25,3095.129883
2020/9/28,3174.050049
2020/9/29,3144.879883
2020/9/30,3148.72998
2020/10/1,3221.26001
2020/10/2,3125
2020/10/5,3199.199951
2020/10/6,3099.959961
2020/10/7,3195.689941
2020/10/8,3190.550049
2020/10/9,3286.649902
2020/10/12,3442.929932
2020/10/13,3443.629883
2020/10/14,3363.709961
2020/10/15,3338.649902
2020/10/16,3272.709961
2020/10/19,3207.209961
2020/10/20,3217.01001
2020/10/21,3184.939941
2020/10/22,3176.399902
2020/10/23,3204.399902
2020/10/26,3207.040039
2020/10/27,3286.330078
2020/10/28,3162.780029
2020/10/29,3211.01001
2020/10/30,3036.149902
2020/11/2,3004.47998
2020/11/3,3048.409912
2020/11/4,3241.159912
2020/11/5,3322
2020/11/6,3311.370117
2020/11/9,3143.73999
2020/11/10,3035.02002
2020/11/11,3137.389893
2020/11/12,3110.280029
2020/11/13,3128.810059
2020/11/16,3131.060059
2020/11/17,3135.659912
2020/11/18,3105.459961
2020/11/19,3117.02002
2020/11/20,3099.399902
2020/11/23,3098.389893
2020/11/24,3118.060059
2020/11/25,3185.070068
2020/11/27,3195.340088
2020/11/30,3168.040039
2020/12/1,3220.080078
